"No","NN.sigma_1800_today","lat","long"
481,0.00246037834733211,57.234,336.83
482,0.00836814029964441,56.215,333.38
483,0.00108746341179797,55.394,332.06
484,0.0796370643428397,53.2,329.92
485,0.000847115154595884,51.533,330.03
486,0.00190518524786223,51.25,330.01
487,0.545299176201507,50.63,330.29
488,0.0151871170919768,46.666,331.75
489,0.0321562822439357,46.65,332.65
490,0.0376365359433245,46.831,333.43
491,0.0144019973279761,47.448,337.05
492,0.00549002790683083,47.683,338.65
493,0.0129779408551158,47.916,340.27
494,0.00806166777268942,48.167,341.89
495,0.00208560071516983,48.417,343.6
496,0.0072649381777818,48.55,344.55
497,0.000650379683316566,66.153,332.82
498,0.000292288245014569,66.28,333.44
499,0.000107554252417125,65.333,331.56
500,0.00219305986543538,64.73,330
501,0.02293579416723,62.722,331.9
502,0.00434550236097536,62.391,332.89
503,0.0135444219574665,62.393,335.27
504,0.00363936590826557,62.491,336.41
505,0.00376709947382668,61.64,337.31
506,0.000177586768002399,61.01,337.84
507,0.011892170467931,60.546,338.28
508,0.0226603213730839,59.63,339.16
509,0.016992648477429,58.917,338.69
510,0.0151651992087597,59.349,337.56
511,0.00400879599034588,59.838,336.18
512,0.11363074528468,60.112,335.38
513,0.0837269662061803,60.408,334.51
514,0.102293084883279,60.933,332.83
515,0.00786010391685853,60.1,330.76
516,0.0843620710615776,59.59,330.39
517,0.0156140749936547,59.176,331.6
518,0.0370897231471064,58.403,333.69
519,0.0194878809897842,58.08,334.45
520,0.0234417452878338,57.447,336.24
521,0.010685728061492,57.166,336.6
522,0.00052591294077399,56.756,335.2
523,0.00718279553225293,56.355,333.8
524,0.00190161449862316,56.072,333.16
525,0.000509458421287774,55.342,331.91
526,0.00152131285180678,54.94,330.28
527,0.000787522370371497,54.823,329.76
528,0.00208480641509778,54.823,329.76
529,0.000259722607253305,53.862,329.91
530,0.00670239147119963,53.193,330.06
531,0.000531336669862806,52.467,330.14
532,0.000341497505966944,52.055,329.99
533,0.000210678222204701,51.593,330.06
534,0.00207619501374983,51.029,330.09
535,0.00184641449857521,51.402,330
536,0.00283465348422285,51.77,329.94
537,0.00805336705098223,51.604,330.03
538,0.00176648349011118,51.273,330.23
539,0.00255398082932803,49.715,330.29
540,0.00415310452326834,48.413,330.63
541,0.0320668459343644,47.11,331.48
542,0.0269248745994567,46.657,332.25
543,0.0577782912431876,46.667,332.97
544,0.0170036712862397,47.013,334.04
545,0.0137982765633774,47.137,334.94
546,0.0201710090941085,47.244,335.64
547,0.0199510050169757,47.435,336.94
548,0.0161627772164471,47.541,337.71
549,0.0193712303332918,47.712,338.84
550,0.0538031140803596,47.925,340.28
551,0.0501356767215884,48.002,341.23
552,0.0143450306555582,48.282,342.77
553,0.272742555090003,48.58,344.77
554,0.0561446672332202,48.66,345.32
555,0.000582215999024589,48.757,346.01
556,0.00869572802728558,48.849,346.66
557,0.147160767427577,48.923,347.17
558,0.174027669078354,37.97,366
559,0.0625472073341268,38.75,370.61
560,0.0229377191652749,36.9,372
561,0.0178437487869157,35,376.3
562,0.00635237020640286,34.5,379
563,0.0107551822040102,35,22.5
564,0.0172971589245749,34.66,24.33
565,0.00472185450445997,34.33,27.5
566,0.10974722068812,34,29.5
567,0.0133696726925267,33.95,31.2
568,0.105211744714388,34.07,33
569,0.254808769397343,34,34.2
570,0.00676800150919156,33.5,33
571,0.39064968180071,32.5,25.53
572,0.0132527254737182,11,303.36
573,0.0039399782972085,10,321.01
574,0.000973766980710857,59.874,322.8
575,0.0029769524078729,58.965,318.79
576,0.00214543135012509,58.868,310.66
577,0.000557040283231303,58.407,306.2
578,0.000654518852925441,57.599,307.41
579,0.00042110787561415,56.801,308.62
580,0.00212567593831692,55.992,309.83
581,0.0200421323821412,55.183,311.04
582,0.0553886783594082,54.641,313.11
583,0.0462082630198661,55.401,314.83
584,0.00256552073845444,56.9,318.28
585,0.0211991543122792,55.433,318.45
586,0.0344142984040448,54.008,318.61
587,0.000555084411782797,52.617,318.79
588,6.6839556606817e-05,51.225,318.95
589,0.000963498180449124,49.831,319.12
590,0.00209412252077947,49.724,321.67
591,0.268873824833148,49.614,324.22
592,0.00337796304166679,49.3,332.14
593,0.00115317838111295,49.234,333.93
594,0.0108159781416703,52.566,330.3
595,0.00515786601446711,53.875,329.71
596,0.0169567345791163,55.392,329.73
597,0.018455838476398,55.698,332.35
598,0.00592864755626755,56.482,337.67
599,0.00554654740476447,56.668,338.97
600,0.000222198851202214,54.817,333.7
601,0.0421665523744224,53.883,335.68
602,0.00108504399751768,52.017,339.63
603,0.0338633302492995,50.609,342.6
604,0.0285975399910779,50.141,343.62
605,0.000965326072958981,49.209,345.56
606,0.00285796740569637,48.909,346.7
607,0.00399421583439958,48.6,344.45
608,0.0285678270572433,47.982,339.95
609,0.0428753275391857,47.708,337.94
610,0.0157563681035263,47.483,336.31
611,0.00358212713047056,46.824,332.37
612,0.0240705964255183,46.642,330.76
613,0.00525125021354988,46.558,325.84
614,0.0215457563014956,46.807,321.92
615,0.00112500625685929,46.924,319.95
616,0.0214701817482379,47.002,318.57
617,0.00718524680147978,47,317.94
618,0.0020645941285316,47,317.6
619,0.00725064359234028,46.999,316.94
620,0.00222547283955994,47,316.81
621,9.87293225268749e-05,19.495,298.03
622,0.00562958977337219,20.797,297.74
623,0.000601230752921415,22.063,296.77
624,0.000330286209981232,23.315,295.82
625,3.81869015898188e-06,24.562,294.89
626,0.000370323110343363,25.797,294
627,0.000146258152062919,27.062,295.39
628,0.00160894275705626,28.335,297.03
629,0.000212099481447771,29.727,298.7
630,0.000380625829023529,30.873,300.34
631,0.000865669224692187,31.978,301.89
632,0.00910792444105934,33.135,303.51
633,0.0262660816619383,36.287,303.6
634,0.00595302726376906,34.797,304.27
635,0.0109179764262639,32.95,304.88
636,0.000816129815300921,30.995,305.51
637,0.000716198580525185,29.778,305.83
638,0.00967942547991594,31.745,309.25
639,0.00061693914673819,32.93,309.89
640,0.00306098960029096,33.935,310.39
641,0.0139290571436074,36.093,312.97
642,0.00819631148779197,37.622,314.64
643,0.0422795245881969,41.982,318.02
644,0.0114955880177872,32.188,314.49
645,0.00761493957559328,32.595,316.43
646,0.0260978346520584,33.018,318.52
647,0.00934572805607774,33.395,322.66
648,0.0114979562131142,33.707,327.65
649,0.00544917053887953,33.963,329.37
650,0.00153809286936161,33.965,329.83
651,0.0135736958270396,32.573,331.41
652,0.0413554314507183,30.815,333.24
653,0.0178325704479537,31.948,333.74
654,0.00715981014625633,33.76,334.86
655,0.00894665860560677,34.767,336.9
656,0.0219247053021134,35.527,336.02
657,0.0356712074679581,37.603,337.34
658,0.00824563225835574,38.018,339.97
659,0.00311207628823178,37.877,342.53
660,0.0156928879546588,37.762,344.44
661,0.00415520104858279,37.588,346.52
662,0.00889314782220447,37.608,348.16
663,0.00073578536077319,37.578,349.81
664,0.00179825707630922,-4.8078,325.12
665,0.00316407844918151,-4.0032,325.12
666,0.0130503400411611,-3.0058,325.11
667,0.000711303352219282,-1.6675,325
668,0.00429824254506429,-0.9997,325
669,0.0305316175435027,0.3325,325
670,0.0211908338523852,0.9952,325
671,0.13057312562837,2.3323,325
672,0.0821701170158495,3.0013,325
673,0.083674189535014,3.9983,325
674,0.00277182673502409,4.952,325
675,0.0363845507530407,-0.6645,327.5
676,0.0148927254690002,-4.0002,337
677,0.0457172833091465,-3.0003,337
678,0.0698481890240818,-2.3332,337
679,0.00182972878968999,-1.668,337
680,0.0240424463049071,-1.0065,336.99
681,0.0127587515548439,-0.7505,337
682,2.90971553640499e-05,-0.501,337
683,0.0182210628551485,0.121,336.88
